Disease	Total_Genes	Seed_Genes	Subsystems	Subsystems_Aligned_to_GO	NDEx_URL	HiView_URL
ureteral_calculi	340	4	143	70	http://dev2.ndexbio.org/v2/network/6f2525a5-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6f2525a5-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hyperlipoproteinemias	434	5	185	107	http://dev2.ndexbio.org/v2/network/adcc1405-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/adcc1405-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
multiple_epiphyseal_dysplasia_due_to_collagen_9_anomaly	3	3	1	1	http://dev2.ndexbio.org/v2/network/863a1245-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/863a1245-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
autosomal_recessive_centronuclear_myopathy	81	2	37	20	http://dev2.ndexbio.org/v2/network/55171a66-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/55171a66-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
congenital_or_early_infantile_cach_syndrome	5	5	1	1	http://dev2.ndexbio.org/v2/network/0ad01956-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/0ad01956-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
mental_retardation__autosomal_dominant_35	27	2	11	3	http://dev2.ndexbio.org/v2/network/5bfe9c3a-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5bfe9c3a-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bare_lymphocyte_syndrome__bls__type1	3	3	1	1	http://dev2.ndexbio.org/v2/network/5bbf0cf8-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5bbf0cf8-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cafe_au_lait_spots__multiple	10	2	5	2	http://dev2.ndexbio.org/v2/network/9c7de96c-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9c7de96c-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
visceral_myopathy	2	2	1	1	http://dev2.ndexbio.org/v2/network/3af21c24-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3af21c24-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
proteus_syndrome	15	2	9	3	http://dev2.ndexbio.org/v2/network/cc3a4ca6-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/cc3a4ca6-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
epidermolysis_bullosa_simplex_with_mottled_pigmentation	2	2	1	1	http://dev2.ndexbio.org/v2/network/6ac427aa-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6ac427aa-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
axenfeld_rieger_syndrome__ars_	2	2	1	1	http://dev2.ndexbio.org/v2/network/56aad8f1-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/56aad8f1-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
keratosis_palmoplantaris_striata	11	3	8	1	http://dev2.ndexbio.org/v2/network/28b1ad4d-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/28b1ad4d-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
isodicentric_chromosome_15_syndrome	13	3	2	1	http://dev2.ndexbio.org/v2/network/14fbe5c6-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/14fbe5c6-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
brain_diseases__metabolic	82	2	45	13	http://dev2.ndexbio.org/v2/network/c2e091d7-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c2e091d7-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hemoglobin_lepore_beta_thalassemia_syndrome	5	2	3	2	http://dev2.ndexbio.org/v2/network/c6e2c3ac-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c6e2c3ac-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
mitral_valve_prolapse	466	2	222	61	http://dev2.ndexbio.org/v2/network/72365cfb-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/72365cfb-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
xeroderma_pigmentosum_cockayne_syndrome_complex	20	4	6	3	http://dev2.ndexbio.org/v2/network/41d1e841-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/41d1e841-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
congenital_dyserythropoietic_anemia_type_i	68	2	30	0	http://dev2.ndexbio.org/v2/network/fd236cb4-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/fd236cb4-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
penile_neoplasm	28	4	18	6	http://dev2.ndexbio.org/v2/network/a4dcc880-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/a4dcc880-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
treacher_collins_syndrome	361	3	129	63	http://dev2.ndexbio.org/v2/network/890d88b8-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/890d88b8-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
centronuclear_myopathy	406	3	169	74	http://dev2.ndexbio.org/v2/network/b4de572f-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b4de572f-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
intracranial_vasospasm	7	4	3	1	http://dev2.ndexbio.org/v2/network/10f5036e-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/10f5036e-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bartter_disease	37	4	14	8	http://dev2.ndexbio.org/v2/network/6e1da834-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6e1da834-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
chromosome_17_deletion	8	2	5	1	http://dev2.ndexbio.org/v2/network/c7adaa3d-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c7adaa3d-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
trichohepatoenteric_syndrome_1	2	2	1	1	http://dev2.ndexbio.org/v2/network/222f9bb3-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/222f9bb3-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
classic_maple_syrup_urine_disease	4	3	1	1	http://dev2.ndexbio.org/v2/network/d754ed78-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d754ed78-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cortisone_reductase_deficiency_1	36	2	16	5	http://dev2.ndexbio.org/v2/network/1573cae7-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1573cae7-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
sensenbrenner_syndrome	18	5	3	1	http://dev2.ndexbio.org/v2/network/f6f182d5-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/f6f182d5-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
fatty_liver__alcoholic	158	3	62	28	http://dev2.ndexbio.org/v2/network/cd21e36e-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/cd21e36e-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
sost_related_sclerosing_bone_dysplasia	5	2	2	0	http://dev2.ndexbio.org/v2/network/0c2e8627-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/0c2e8627-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
asphyxiating_thoracic_dystrophy__jeune_syndrome	7	4	3	0	http://dev2.ndexbio.org/v2/network/a8206cd6-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/a8206cd6-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
opll	318	2	121	51	http://dev2.ndexbio.org/v2/network/4e681b43-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4e681b43-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
thyrotoxicosis	124	2	52	23	http://dev2.ndexbio.org/v2/network/25f6dcce-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/25f6dcce-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_hypodysfibrinogenemia	3	3	1	1	http://dev2.ndexbio.org/v2/network/9aeb45b3-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9aeb45b3-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
phytanic_acid_storage_disease	2	2	1	1	http://dev2.ndexbio.org/v2/network/af31e5a5-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/af31e5a5-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
alternating_hemiplegia_of_childhood	8	2	2	0	http://dev2.ndexbio.org/v2/network/2d77abbe-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2d77abbe-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
prader_willi_syndrome__pws_	74	2	43	15	http://dev2.ndexbio.org/v2/network/2caefd11-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2caefd11-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hypotonia_speech_impairment_severe_cognitive_delay_syndrome	3	2	2	2	http://dev2.ndexbio.org/v2/network/65e36a23-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/65e36a23-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
intermediate_nemaline_myopathy	112	4	46	24	http://dev2.ndexbio.org/v2/network/134eab7f-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/134eab7f-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
aortic_valve_disease_2	14	2	10	3	http://dev2.ndexbio.org/v2/network/36c0605c-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/36c0605c-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
congenital_myasthenic_syndrome_1b	3	3	2	2	http://dev2.ndexbio.org/v2/network/fd890c73-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/fd890c73-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
refsum_disease__heredopathia_atactica_polyneuritiformis	2	2	1	1	http://dev2.ndexbio.org/v2/network/d536dded-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d536dded-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
glanzmann_s_thrombasthenia	4	2	1	1	http://dev2.ndexbio.org/v2/network/b01472e1-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b01472e1-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
autosomal_dominant_severe_congenital_neutropenia	244	3	83	42	http://dev2.ndexbio.org/v2/network/78f4778d-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/78f4778d-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cadds	284	2	112	59	http://dev2.ndexbio.org/v2/network/4dac0881-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4dac0881-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
acth_deficiency__isolated	424	2	196	82	http://dev2.ndexbio.org/v2/network/b383020e-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b383020e-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
papillary_renal_cell_carcinoma	127	2	49	25	http://dev2.ndexbio.org/v2/network/be9cbc4a-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/be9cbc4a-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
leukemia__erythroblastic__acute	308	3	124	73	http://dev2.ndexbio.org/v2/network/67f644e5-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/67f644e5-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
rh_deficiency_syndrome	5	2	1	1	http://dev2.ndexbio.org/v2/network/e31b3c05-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/e31b3c05-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
lichenoid_eruptions	34	2	15	9	http://dev2.ndexbio.org/v2/network/403df6aa-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/403df6aa-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
emery_dreifuss_muscular_dystrophy	167	5	70	30	http://dev2.ndexbio.org/v2/network/78513d5a-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/78513d5a-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cortisone_reductase_deficiency__crd_	36	2	16	4	http://dev2.ndexbio.org/v2/network/3a2abfbe-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3a2abfbe-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
solitary_fibrous_tumors	50	2	25	6	http://dev2.ndexbio.org/v2/network/088b46c1-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/088b46c1-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
intellectual_disability_expressive_aphasia_facial_dysmorphism_syndrome	33	2	16	2	http://dev2.ndexbio.org/v2/network/07049c51-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/07049c51-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
chronic_myelomonocytic_leukemia	6	2	4	0	http://dev2.ndexbio.org/v2/network/d7e6f458-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d7e6f458-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
atypical_juvenile_parkinsonism	32	2	9	0	http://dev2.ndexbio.org/v2/network/5ac6ca3d-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5ac6ca3d-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
infantile_glycine_encephalopathy	3	3	2	2	http://dev2.ndexbio.org/v2/network/058f13fd-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/058f13fd-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
tyrosinemia__tyrosinemia__type_i__tyrosinemia__type_ii__tyrosinemia__type_iii__hawkinsinuria	212	3	73	44	http://dev2.ndexbio.org/v2/network/4480667f-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4480667f-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
thyroid_ectopia	8	2	10	1	http://dev2.ndexbio.org/v2/network/1bf0078a-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1bf0078a-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
brown_vialetto_van_laere_syndrome	2	2	1	1	http://dev2.ndexbio.org/v2/network/ddca3819-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ddca3819-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cirrhosis__familial	2	2	1	1	http://dev2.ndexbio.org/v2/network/1a6e5bfb-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1a6e5bfb-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
pericardial_effusion	84	2	36	15	http://dev2.ndexbio.org/v2/network/caf08e43-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/caf08e43-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bronchitis__chronic	487	2	207	106	http://dev2.ndexbio.org/v2/network/8d223845-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/8d223845-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
doyne_honeycomb_retinal_dystrophy	315	3	111	54	http://dev2.ndexbio.org/v2/network/830c95f9-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/830c95f9-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
li_fraumeni_syndrome_2	25	2	10	4	http://dev2.ndexbio.org/v2/network/43be91e5-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/43be91e5-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
episodic_ataxias	267	4	96	50	http://dev2.ndexbio.org/v2/network/239dc716-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/239dc716-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
peripheral_primitive_neuroectodermal_tumor	11	2	4	1	http://dev2.ndexbio.org/v2/network/c2e27bf0-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c2e27bf0-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bifunctional_peroxisomal_enzyme_deficiency	24	3	8	6	http://dev2.ndexbio.org/v2/network/ecb5f3dd-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ecb5f3dd-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hyperalphalipoproteinemia	7	2	6	2	http://dev2.ndexbio.org/v2/network/e6a78be4-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/e6a78be4-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
glycine_encephalopathy	3	3	2	2	http://dev2.ndexbio.org/v2/network/c679efa1-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c679efa1-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hereditary_spherocytosis__sph_	15	4	8	1	http://dev2.ndexbio.org/v2/network/e25ac75c-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/e25ac75c-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
atrophia_bulborum_hereditaria	2	2	1	1	http://dev2.ndexbio.org/v2/network/a888568e-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/a888568e-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
acute_myeloid_leukemia_with_t_8_16__p11_p13__translocation	5	2	3	0	http://dev2.ndexbio.org/v2/network/2d7f25d0-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2d7f25d0-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
erythroderma__congenital__with_palmoplantar_keratoderma__hypotrichosis__and_hyper_ige	28	2	16	5	http://dev2.ndexbio.org/v2/network/71f854c8-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/71f854c8-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
combined_deficiency_of_vitamin_k_dependent_clotting_factors__vkcfd_	70	2	29	10	http://dev2.ndexbio.org/v2/network/ea0070a2-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ea0070a2-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
arteritis	205	3	79	50	http://dev2.ndexbio.org/v2/network/0332f072-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/0332f072-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bare_lymphocyte_syndrome_type_1	15	4	8	3	http://dev2.ndexbio.org/v2/network/6e3045d8-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6e3045d8-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
combined_deficiency_of_factors_v_and_viii__f5f8d_	47	2	20	11	http://dev2.ndexbio.org/v2/network/eabe908a-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/eabe908a-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
46_xx_ovotesticular_disorder_of_sex_development	2	2	1	1	http://dev2.ndexbio.org/v2/network/25f473d4-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/25f473d4-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
appendicitis	18	2	9	3	http://dev2.ndexbio.org/v2/network/bd8458fd-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/bd8458fd-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
ras_associated_autoimmune_leukoproliferative_disorder	2	2	1	1	http://dev2.ndexbio.org/v2/network/d362936c-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d362936c-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hereditary_elliptocytosis	35	4	16	4	http://dev2.ndexbio.org/v2/network/da0301dd-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/da0301dd-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
dermatitis_herpetiformis	3	2	2	0	http://dev2.ndexbio.org/v2/network/36dc5808-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/36dc5808-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
poor_drug_metabolism__pm_	12	2	3	1	http://dev2.ndexbio.org/v2/network/c028d9c5-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c028d9c5-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
vulvar_lichen_sclerosus	25	2	11	2	http://dev2.ndexbio.org/v2/network/53728a4e-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/53728a4e-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cerebral_sinovenous_thrombosis	4	2	2	2	http://dev2.ndexbio.org/v2/network/e5a94b11-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/e5a94b11-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
neurologic_waardenburg_shah_syndrome	21	2	8	4	http://dev2.ndexbio.org/v2/network/83f615e1-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/83f615e1-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
neurofibroma	46	2	31	7	http://dev2.ndexbio.org/v2/network/864c13ac-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/864c13ac-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
juvenile_polyposis_syndrome	231	3	99	56	http://dev2.ndexbio.org/v2/network/49620d5e-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/49620d5e-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bare_lymphocyte_syndrome__type_2	57	4	21	5	http://dev2.ndexbio.org/v2/network/64e17638-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/64e17638-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
leber_plus_disease	11	2	5	0	http://dev2.ndexbio.org/v2/network/4a032f7d-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4a032f7d-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bullous_congenital_ichthyosiform_erythroderma__bcie___epidermolytic_hyperkeratosis__ehk_	6	2	2	1	http://dev2.ndexbio.org/v2/network/984a7861-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/984a7861-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cerebro_oculo_facio_skeletal_syndrome	3	3	1	1	http://dev2.ndexbio.org/v2/network/1a39b75b-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1a39b75b-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hypomyelination_hypogonadotropic_hypogonadism_hypodontia_syndrome	7	3	2	0	http://dev2.ndexbio.org/v2/network/70031ee8-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/70031ee8-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_advanced_sleep_phase_syndrome	7	3	3	0	http://dev2.ndexbio.org/v2/network/86b4b662-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/86b4b662-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hemorrhage__intracerebral__susceptibility_to	252	3	108	44	http://dev2.ndexbio.org/v2/network/26ed40ca-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/26ed40ca-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cranioectodermal_dysplasia	3	2	2	0	http://dev2.ndexbio.org/v2/network/17f93c9f-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/17f93c9f-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
benign_familial_neonatal_epilepsy	2	2	1	1	http://dev2.ndexbio.org/v2/network/70d50038-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/70d50038-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
entamoebiasis	30	6	12	5	http://dev2.ndexbio.org/v2/network/7a53285b-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/7a53285b-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
infantile_cerebellar_retinal_degeneration	193	2	74	21	http://dev2.ndexbio.org/v2/network/2737b751-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2737b751-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hydronephrosis	411	3	157	97	http://dev2.ndexbio.org/v2/network/95397d4f-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/95397d4f-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
griscelli_syndrome__type_3	2	2	1	1	http://dev2.ndexbio.org/v2/network/cae1b747-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/cae1b747-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
listeriosis	294	2	111	52	http://dev2.ndexbio.org/v2/network/a27f29d8-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/a27f29d8-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
